,User ID,Location,Age
0,U1,United Arab Emirates,20
1,U2,Western Sahara,21
2,U3,Hong Kong,10
3,U4,Kiribati,10
4,U5,Montenegro,12
5,U6,United Kingdom,14
6,U7,Gibraltar,24
7,U8,India,22
8,U9,Cuba,29
9,U10,Madagascar,27
10,U11,Gambia,22
11,U12,Hong Kong,16
12,U13,Brazil,21
13,U14,Latvia,14
14,U15,Norfolk Island,23
15,U16,Saint Helena,16
16,U17,Saint Barthelemy,16
17,U18,Venezuela,25
18,U19,Switzerland,18
19,U20,Guyana,10
20,U21,Honduras,25
21,U22,Reunion,11
22,U23,Ukraine,13
23,U24,San Marino,28
24,U25,Tokelau,26
25,U26,New Zealand,26
26,U27,Trinidad and Tobago,30
27,U28,Cocos (Keeling) Islands,23
28,U29,Tajikistan,21
29,U30,Anguilla,17
30,U31,Kiribati,30
31,U32,Sweden,10
32,U33,Haiti,14
33,U34,Antigua and Barbuda,11
34,U35,Madagascar,28
35,U36,Nauru,22
36,U37,Saint Barthelemy,13
